Time,Value
10/1/17 0:00,57
10/1/17 0:00,58
10/1/17 0:00,58
10/1/17 0:00,58
10/1/17 0:00,58
10/1/17 0:00,64
10/1/17 0:00,60
10/1/17 0:00,58
10/1/17 0:00,57
10/1/17 0:00,58
10/1/17 0:01,57
10/1/17 0:01,58
10/1/17 0:01,57
10/1/17 0:01,55
10/1/17 0:01,55
10/1/17 0:02,55
10/1/17 0:02,55
10/1/17 0:02,54
10/1/17 0:02,55
10/1/17 0:02,54
10/1/17 0:02,55
10/1/17 0:03,54
10/1/17 0:03,54
10/1/17 0:03,54
10/1/17 0:03,55
10/1/17 0:03,54
10/1/17 0:03,55
10/1/17 0:03,55
10/1/17 0:03,56
10/1/17 0:04,55
10/1/17 0:04,53
10/1/17 0:04,53
10/1/17 0:04,54
10/1/17 0:04,53
10/1/17 0:04,53
10/1/17 0:04,54
10/1/17 0:05,54
10/1/17 0:05,55
10/1/17 0:05,56
10/1/17 0:05,56
10/1/17 0:05,57
10/1/17 0:05,59
10/1/17 0:05,61
10/1/17 0:05,62
10/1/17 0:06,62
10/1/17 0:06,62
10/1/17 0:06,77
10/1/17 0:06,65
10/1/17 0:06,60
10/1/17 0:06,62
10/1/17 0:06,63
10/1/17 0:06,60
10/1/17 0:06,58
10/1/17 0:06,57
10/1/17 0:07,56
10/1/17 0:07,57
10/1/17 0:07,58
10/1/17 0:07,59
10/1/17 0:07,58
10/1/17 0:07,59
10/1/17 0:07,57
10/1/17 0:07,58
10/1/17 0:08,58
10/1/17 0:08,57
10/1/17 0:08,56
10/1/17 0:08,55
10/1/17 0:08,56
10/1/17 0:08,56
10/1/17 0:09,57
10/1/17 0:09,58
10/1/17 0:09,57
10/1/17 0:09,56
10/1/17 0:09,55
10/1/17 0:09,54
10/1/17 0:09,54
10/1/17 0:10,54
10/1/17 0:10,55
10/1/17 0:10,54
10/1/17 0:10,56
10/1/17 0:10,55
10/1/17 0:10,56
10/1/17 0:10,57
10/1/17 0:10,56
10/1/17 0:11,55
10/1/17 0:11,56
10/1/17 0:11,57
10/1/17 0:11,56
10/1/17 0:11,55
10/1/17 0:11,57
10/1/17 0:11,56
10/1/17 0:11,55
10/1/17 0:11,54
10/1/17 0:12,56
10/1/17 0:12,55
10/1/17 0:12,59
10/1/17 0:12,62
10/1/17 0:12,65
10/1/17 0:12,60
10/1/17 0:12,59
10/1/17 0:12,60
10/1/17 0:12,59
10/1/17 0:12,56
